full_name;age;birthday_GMT;league;season;position;Current Club;minutes_played_overall;minutes_played_home;minutes_played_away;nationality;appearances_overall;goals_overall;assists_overall;penalty_goals;penalty_misses;yellow_cards_overall;red_cards_overall;assists_per_90_overall;passes_per_90_overall;shots_total_overall;blocks_total_overall
Bruno Felix Bianchi Massey;34;viernes, 17 de febrero de 1989;Primera Division;2023;Defender;Atletico Tucuman;2340;1170;1170;Argentina;26;0;1;0;0;7;1;0.04;35.64;5;22
Bruno Juncos;21;martes, 22 de enero de 2002;Primera Division;2023;Forward;Talleres Cordoba;0;0;0;Argentina;0;0;0;0;0;0;0;0;0;0;0
Bruno Leyes Sosa;21;martes, 30 de octubre de 2001;Primera Division;2023;Midfielder;Godoy Cruz;1488;728;760;Argentina;22;0;1;0;0;6;1;0.06;0.00;0;0
Bruno Mastronicola;23;sabado, 01 de abril de 2000;Primera Division;2023;Defender;Barracas Central;4;4;0;Argentina;1;0;0;0;0;1;1;0;0.00;0;0
Bruno Palazzo;22;sabado, 18 de noviembre de 2000;Primera Division;2023;Defender;Gimnasia La Plata;313;133;180;Argentina;5;0;0;0;0;2;1;0;24.73;0;0
Bruno Zapelli;21;viernes, 17 de mayo de 2002;Primera Division;2023;Midfielder;Belgrano;1836;909;927;Argentina;24;1;3;0;0;1;0;0.15;39.38;19;2
Bruno Zuculini;30;viernes, 02 de abril de 1993;Primera Division;2023;Midfielder;River Plate;14;0;14;Argentina;1;0;0;0;0;0;0;0;57.86;0;0
Bryan David Castrillon Gomez;24;martes, 30 de marzo de 1999;Primera Division;2023;Forward;Union Santa Fe;224;124;100;Colombia;12;2;1;0;0;1;0;0.4;28.53;5;0
Camilo Francisco Viganoni;19;miercoles, 10 de diciembre de 2003;Primera Division;2023;Forward;Tigre;0;0;0;Argentina;0;0;0;0;0;0;0;0;0;0;0
Carlos Alberto Ordoñez Esterilla;21;domingo, 16 de junio de 2002;Primera Division;2023;Defender;Newell's Old Boys;0;0;0;Colombia;0;0;0;0;0;0;0;0;0;0;0
Carlos Arce;32;domingo, 16 de septiembre de 1990;Primera Division;2023;Midfielder;Barracas Central;1665;1039;626;Argentina;24;2;0;0;0;6;0;0;40.97;8;7
Carlos Arrua;26;miercoles, 30 de julio de 1997;Primera Division;2023;Midfielder;Colon;1013;492;521;Paraguay;19;0;1;0;0;3;0;0.09;28.08;15;0
Carlos Auzqui;32;sabado, 16 de marzo de 1991;Primera Division;2023;Forward;San Lorenzo;80;46;34;Argentina;2;0;0;0;0;0;0;0;23.62;1;0
