full_name;name;last_name;current_club;nationality;goals_overall;assists_overall
Luis Jan Piers Advincula Castrillon;Luis;Jan Piers Advincula Castrillon;Boca Juniors;Peru;0;3
Luis Leal dos Anjos;Luis;Leal dos Anjos;Arsenal de Sarandi;Puerto Principe;3;0
Luis Miguel Angulo Sevillano;Luis;Miguel Angulo Sevillano;Talleres Cordoba;Colombia;0;0
Luis Miguel Rodriguez;Luis;Miguel Rodriguez;Central Cordoba SdE;Argentina;1;0
Luis Sequeira;Luis;Sequeira;Talleres Cordoba;Argentina;0;0
Luis Vaquez;Luis;Vaquez;Boca Juniors;Argentina;1;2
Luis Yamil Garnier;Luis;Yamil Garnier;Sarmiento;Argentina;0;0
Maico Alejandro Quiroz;Maico;Alejandro Quiroz;Sarmiento;Argentina;0;0
Malcom Braida;Malcom;Braida;San Lorenzo;Argentina;1;2
Manuel Agustin Duarte;Manuel;Agustin Duarte;Defensa y Justicia;Argentina;1;0
Manuel Agustin Guillen;Manuel;Agustin Guillen;Godoy Cruz;Argentina;0;0
Manuel Agustin Villalobos;Manuel;Agustin Villalobos;Godoy Cruz;Argentina;0;0
Manuel Insaurralde;Manuel;Insaurralde;San Lorenzo;Argentina;0;0
Manuel Lanzini;Manuel;Lanzini;River Plate;Argentina;0;0
Manuel Lopez;Manuel;Lopez;Arsenal de Sarandi;Argentina;0;0
Manuel Matias Vicentini;Manuel;Matias Vicentini;Belgrano;Argentina;0;0
Manuel Monaco;Manuel;Monaco;Sarmiento;Argentina;2;1
Manuel Roffo;Manuel;Roffo;Instituto;Argentina;0;0
Manuel Tasso;Manuel;Tasso;Independiente;Argentina;0;0
Marcelo Alexis Weigandt;Marcelo;Alexis Weigandt;Boca Juniors;Argentina;0;3
Marcelo Cesar Esponda;Marcelo;Cesar Esponda;Newell's Old Boys;Argentina;0;0
Marcelo Herrera;Marcelo;Herrera;River Plate;Argentina;0;1
Marcelo Josemir Saracchi Pintos;Marcelo;Josemir Saracchi Pintos;Boca Juniors;Uruguay;0;0
Marcelo Luciano Estigarribia;Marcelo;Luciano Estigarribia;Atletico Tucuman;Argentina;6;4
Marcelo Nicola Benitez;Marcelo;Nicola Benitez;Central Cordoba SdE;Argentina;1;0
Marcelo Ortiz;Marcelo;Ortiz;Atletico Tucuman;Argentina;1;0
Marcelo Perez;Marcelo;Perez;Huracan;Paraguay;0;0
Marcelo Sebastii Gonzalez Cabral;Marcelo;Sebastii Gonzalez Cabral;Atletico Tucuman;Paraguay;1;0
Marco Di Cesare;Marco;Di Cesare;Argentinos Juniors;Argentina;1;1
Marcos Benitez;Marcos;Benitez;Barracas Central;Argentina;0;0
Marcos Damii Echeverria;Marcos;Damii Echeverria;Banfield;Argentina;0;0
Marcos Gonzalo Godi;Marcos;Gonzalo Godi;Central Cordoba SdE;Argentina;1;1
Marcos Ledesma;Marcos;Ledesma;Central Cordoba SdE;Argentina;0;0
Marcos Portillo;Marcos;Portillo;Newell's Old Boys;Argentina;0;1
Mariano Bittolo;Mariano;Bittolo;Argentinos Juniors;Argentina;0;0
Mariano Gonzalo Andujar;Mariano;Gonzalo Andujar;Estudiantes;Argentina;0;0
Mariano Meynier;Mariano;Meynier;Union Santa Fe;Argentina;0;0
Mariano Miño;Mariano;Miño;Belgrano;Argentina;0;0
Mariano Troilo;Mariano;Troilo;Belgrano;Argentina;0;0
Martin Alejandro Gonzalez;Martin;Alejandro Gonzalez;Independiente;Argentina;0;0
Martin Cauteruccio Rodriguez;Martin;Cauteruccio Rodriguez;Independiente;Uruguay;11;1
Martin Ezequiel Cañete;Martin;Ezequiel Cañete;Banfield;Argentina;0;1
Martin Garay;Martin;Garay;Tigre;Argentina;0;3
Martin Ismael Payero;Martin;Ismael Payero;Boca Juniors;Argentina;4;0
Martin Luciano;Martin;Luciano;Newell's Old Boys;Argentina;0;0
Martin Ortega;Martin;Ortega;Tigre;Argentina;0;1
Martin Sarrafiore;Martin;Sarrafiore;Independiente;Argentina;0;2
Martiniano Moreno Diaz;Martiniano;Moreno Diaz;Estudiantes;Argentina;0;0
Mateo Agustin Coronel;Mateo;Agustin Coronel;Atletico Tucuman;Argentina;9;1
Mateo Baltasar Barcia Fernidez;Mateo;Baltasar Barcia Fernidez;Independiente;Uruguay;1;2
Mateo Burdisso;Mateo;Burdisso;Estudiantes;Argentina;0;0
Mateo Del Blanco;Mateo;Del Blanco;Union Santa Fe;Argentina;0;0
Mateo Garcia Franzotti;Mateo;Garcia Franzotti;Union Santa Fe;Argentina;0;0
Mateo Mendoza;Mateo;Mendoza;Godoy Cruz;Argentina;0;0
Mateo Pellegrino Casalanguila;Mateo;Pellegrino Casalanguila;Platense;Argentina;0;0
Mateo Perez;Mateo;Perez;Banfield;Argentina;0;0
Mateo Retegui;Mateo;Retegui;Tigre;Argentina;11;1
Mateo Seoane;Mateo;Seoane;Talleres Cordoba;Argentina;0;0
Mateo Valentin Caceres;Mateo;Valentin Caceres;Tigre;Argentina;0;0
Matias Agustin Moreno;Matias;Agustin Moreno;Belgrano;Argentina;0;0
Matias Alejandro Ibiañez Basualdo;Matias;Alejandro Ibiañez Basualdo;Colon;Argentina;0;0
Matias Alejandro Laba;Matias;Alejandro Laba;Barracas Central;Argentina;0;0
Matias Alexis Romero;Matias;Alexis Romero;Instituto;Argentina;0;0
Matias Bazzo;Matias;Bazzo;Gimnasia La Plata;Argentina;0;0
Matias Daniel Gimenez Rojas;Matias;Daniel Gimenez Rojas;Independiente;Argentina;7;2
Matias Eduardo Esquivel;Matias;Eduardo Esquivel;Lanus;Argentina;2;2
Matias Emanuel Godoy;Matias;Emanuel Godoy;Estudiantes;Argentina;2;1
Matias Espindola;Matias;Espindola;Tigre;Argentina;0;0
Matias Ezequiel Catali;Matias;Ezequiel Catali;Talleres Cordoba;Argentina;1;2
Matias Fernando Coccaro Ferreira;Matias;Fernando Coccaro Ferreira;Huracan;Uruguay;8;1
Matias Germi Melluso;Matias;Germi Melluso;Gimnasia La Plata;Argentina;0;0
Matias Gomez;Matias;Gomez;Huracan;Argentina;0;0
Matias Gomez;Matias;Gomez;Talleres Cordoba;Argentina;0;0
Matias Hernidez;Matias;Hernidez;San Lorenzo;Argentina;0;0
Matias Ibacache;Matias;Ibacache;Belgrano;Chile;0;0
Matias Kranevitter;Matias;Kranevitter;River Plate;Argentina;0;0
Matias Lisandro Mansilla;Matias;Lisandro Mansilla;Central Cordoba SdE;Argentina;0;0
Matias Nahuel Gonzalez;Matias;Nahuel Gonzalez;Banfield;Argentina;0;0
Matias Orihuela;Matias;Orihuela;Atletico Tucuman;Argentina;1;1
Matias Ramirez;Matias;Ramirez;Banfield;Argentina;0;1
Matias Rojas;Matias;Rojas;Racing Club;Paraguay;6;1
Matias Suarez;Matias;Suarez;River Plate;Argentina;2;1
Matias Tagliamonte;Matias;Tagliamonte;Racing Club;Argentina;0;0
Matias Vera;Matias;Vera;Argentinos Juniors;Argentina;0;0
Mauricio Andres Cuero Castillo;Mauricio;Andres Cuero Castillo;Independiente;Colombia;0;0
Mauricio Luciano Lollo;Mauricio;Luciano Lollo;Estudiantes;Argentina;3;0
Mauricio Roldi;Mauricio;Roldi;Banfield;Argentina;0;0
Mauro Adrii Carrizo;Mauro;Adrii Carrizo;Defensa y Justicia;Argentina;0;0
Mauro Andres Mendez Acosta;Mauro;Andres Mendez Acosta;Estudiantes;Uruguay;5;0
Mauro Antonio Burruchaga;Mauro;Antonio Burruchaga;Arsenal de Sarandi;Argentina;0;0
Mauro Boselli;Mauro;Boselli;Estudiantes;Argentina;7;2
Mauro Daniel Quiroga;Mauro;Daniel Quiroga;Platense;Argentina;1;3
Mauro Luna Diale;Mauro;Luna Diale;Union Santa Fe;Argentina;3;3
Mauro Martin Peinipil;Mauro;Martin Peinipil;Barracas Central;Argentina;1;0
Mauro Rodolfo Pitton;Mauro;Rodolfo Pitton;Central Cordoba SdE;Argentina;0;1
Maxi Moralez;Maxi;Moralez;Racing Club;Argentina;1;2
Maximiliano Alberto Lovera;Maximiliano;Alberto Lovera;Rosario Central;Argentina;0;0
Maximiliano Centurion;Maximiliano;Centurion;Arsenal de Sarandi;Argentina;0;0
Maximiliano Ezequiel Zalazar;Maximiliano;Ezequiel Zalazar;Platense;Argentina;1;0
Maximiliano Gabriel Comba;Maximiliano;Gabriel Comba;Gimnasia La Plata;Argentina;1;1
Maximiliano Gay;Maximiliano;Gay;Talleres Cordoba;Argentina;0;0
Maximiliano Puig;Maximiliano;Puig;Barracas Central;Argentina;0;0
Maximiliano Rodriguez;Maximiliano;Rodriguez;Barracas Central;Argentina;0;0
Maximiliano Romero;Maximiliano;Romero;Racing Club;Argentina;4;2
Maximiliano Walter Alanis;Maximiliano;Walter Alanis;Atletico Tucuman;Argentina;0;0
Michael Nicola Santos Rosadilla;Michael;Nicola Santos Rosadilla;Talleres Cordoba;Uruguay;13;5
Michael Rangel;Michael;Rangel;Central Cordoba SdE;Colombia;0;0
Miguel Angel Acosta;Miguel;Angel Acosta;Argentinos Juniors;Argentina;0;0
Miguel Borja;Miguel;Borja;River Plate;Colombia;5;2
Miguel Isaias Jacquet Duarte;Miguel;Isaias Jacquet Duarte;Platense;Paraguay;0;1
Miguel Marcelo Brizuela;Miguel;Marcelo Brizuela;Velez Sarsfield;Argentina;0;0
Miguel Merentiel;Miguel;Merentiel;Boca Juniors;Uruguay;7;2
Miguel Torren;Miguel;Torren;Argentinos Juniors;Argentina;0;1
Milton Casco;Milton;Casco;River Plate;Argentina;0;4
Milton Gimenez;Milton;Gimenez;Banfield;Argentina;5;2
Milton Giovanni Cantero;Milton;Giovanni Cantero;Racing Club;Argentina;0;0
Milton Uriel Rios;Milton;Uriel Rios;Huracan;Argentina;0;0
Misael Jaime;Misael;Jaime;Newell's Old Boys;Argentina;0;0
Moises Brandi;Moises;Brandi;Atletico Tucuman;Argentina;0;0
Nacho Fernidez;Nacho;Fernidez;River Plate;Argentina;5;5
Nadir Zeineddin;Nadir;Zeineddin;Platense;Argentina;0;0
Nahuel Ezequiel Gallardo;Nahuel;Ezequiel Gallardo;Sarmiento;Argentina;0;0
Nahuel Genez;Nahuel;Genez;Boca Juniors;Argentina;0;0
Nahuel Herni Losada;Nahuel;Herni Losada;Belgrano;Argentina;0;0
Nahuel Lautaro Bustos;Nahuel;Lautaro Bustos;Talleres Cordoba;Argentina;9;0
Natanael Laureano Troncoso;Natanael;Laureano Troncoso;Colon;Argentina;1;1
Nazareno Colombo;Nazareno;Colombo;Defensa y Justicia;Argentina;1;0
Nazareno Duri;Nazareno;Duri;Huracan;Argentina;0;0
Nazareno Manuel Funez;Nazareno;Manuel Funez;Newell's Old Boys;Argentina;0;0
Nelson Federico Insfri;Nelson;Federico Insfri;Gimnasia La Plata;Argentina;0;0
Nestor Adriel Breitenbruch;Nestor;Adriel Breitenbruch;Arsenal de Sarandi;Argentina;1;1
Nicola Adrii Oroz;Nicola;Adrii Oroz;Racing Club;Argentina;3;1
Nicola Agustin Sichez;Nicola;Agustin Sichez;Gimnasia La Plata;Argentina;0;0
Nicola Andres Fernidez;Nicola;Andres Fernidez;Estudiantes;Argentina;0;0
Nicola Barrientos;Nicola;Barrientos;Instituto;Argentina;0;1
Nicola Blandi;Nicola;Blandi;San Lorenzo;Argentina;1;0
Nicola Canela;Nicola;Canela;Godoy Cruz;Argentina;0;0
Nicola Capraro;Nicola;Capraro;Barracas Central;Argentina;1;0
Nicola Cordero;Nicola;Cordero;Huracan;Argentina;5;0
Nicola De La Cruz;Nicola;De La Cruz;River Plate;Uruguay;5;0
Nicola Eduardo Castro;Nicola;Eduardo Castro;Platense;Argentina;5;1
Nicolas Ezequiel Watson;Nicolas;Ezequiel Watson;Instituto;Argentina;0;0
Nicola Femia;Nicola;Femia;Sarmiento;Argentina;0;0
Nicola Fernidez;Nicola;Fernidez;Defensa y Justicia;Argentina;12;1
Nicola Gabriel Meaurio;Nicola;Gabriel Meaurio;Racing Club;Argentina;0;0
Nicola Garayalde;Nicola;Garayalde;Velez Sarsfield;Argentina;0;0
Nicolas Kozlovsky;Nicolas;Kozlovsky;Racing Club;Argentina;0;0
Nicola Leguizamon;Nicola;Leguizamon;Central Cordoba SdE;Argentina;0;0
Nicola Linares;Nicola;Linares;Instituto;Argentina;1;0
Nicola Meriano;Nicola;Meriano;Belgrano;Argentina;0;0
Nicola Morgantini;Nicola;Morgantini;Platense;Argentina;2;1
Nicola Orsini;Nicola;Orsini;Union Santa Fe;Argentina;0;0
Nicola Palavecino;Nicola;Palavecino;Estudiantes;Argentina;0;0
Nicola Pasquini;Nicola;Pasquini;Talleres Cordoba;Argentina;0;0
Nicola Paz;Nicola;Paz;Union Santa Fe;Argentina;0;0
Nicola Reniero;Nicola;Reniero;Racing Club;Argentina;1;1
Nicola Romero;Nicola;Romero;Atletico Tucuman;Argentina;1;0
Nicola Santiago Bertolo;Nicola;Santiago Bertolo;Banfield;Argentina;0;0
Nicola Servetto;Nicola;Servetto;Platense;Argentina;6;1
Nicola Sosa Sichez;Nicola;Sosa Sichez;Banfield;Uruguay;1;1
Nicola Tripichio;Nicola;Tripichio;Defensa y Justicia;Argentina;1;0
Nicola Utrera;Nicola;Utrera;Colon;Argentina;0;0
Nicola Valentini;Nicola;Valentini;Boca Juniors;Argentina;1;0
Nicola Vaquer;Nicola;Vaquer;Instituto;Argentina;0;0
Norberto Briasco;Norberto;Briasco;Boca Juniors;Argentina;1;1
Octavio Andres Bianchi;Octavio;Andres Bianchi;Rosario Central;Argentina;0;1
Omar Fernando Tobio;Omar;Fernando Tobio;Huracan;Argentina;1;0
Oscar Ariel Garrido Bigolin;Oscar;Ariel Garrido Bigolin;Instituto;Argentina;0;0
Oscar Ezequiel Jonathan Parnisari;Oscar;Ezequiel Jonathan Parnisari;Instituto;Argentina;1;0
Oscar Nahuel Arias;Oscar;Nahuel Arias;San Lorenzo;Argentina;0;0
Oscar Piris;Oscar;Piris;Union Santa Fe;Argentina;1;0
Oscar Romero;Oscar;Romero;Boca Juniors;Paraguay;2;3
Pablo Chavarria;Pablo;Chavarria;Belgrano;Argentina;0;0
Pablo de Blasis;Pablo;de Blasis;Gimnasia La Plata;Argentina;0;0
Pablo Ezequiel Aranda;Pablo;Ezequiel Aranda;Lanus;Argentina;0;0
Pablo Ezequiel Vegetti Pfaffen;Pablo;Ezequiel Vegetti Pfaffen;Belgrano;Argentina;13;1
Pablo Gaston Gerzel;Pablo;Gaston Gerzel;Sarmiento;Argentina;0;0
Pablo Javier Perez;Pablo;Javier Perez;Newell's Old Boys;Argentina;0;0
Pablo Maximiliano Lopez;Pablo;Maximiliano Lopez;Defensa y Justicia;Argentina;0;0
Pablo Minissale;Pablo;Minissale;Argentinos Juniors;Argentina;0;0
Pablo Piatti;Pablo;Piatti;Estudiantes;Argentina;0;2
Pablo Ramirez;Pablo;Ramirez;Platense;Argentina;0;0
Pablo Solari;Pablo;Solari;River Plate;Argentina;7;7
Paolo Duval Goltz;Paolo;Duval Goltz;Colon;Argentina;0;0
Paolo Guerrero;Paolo;Guerrero;Racing Club;Peru;1;0
Patricio Damii Tanda;Patricio;Damii Tanda;Union Santa Fe;Argentina;0;0
Patricio Ezequiel Pernicone;Patricio;Ezequiel Pernicone;Velez Sarsfield;Argentina;0;0
Patricio Pizarro;Patricio;Pizarro;Huracan;Argentina;0;0
Paulo Diaz;Paulo;Diaz;River Plate;Chile;1;0
Pedro Souto;Pedro;Souto;Banfield;Argentina;0;0
Pier Miqueas Barrios;Pier;Miqueas Barrios;Godoy Cruz;Argentina;0;1
Rafael Enrique Perez Almeida;Rafael;Enrique Perez Almeida;San Lorenzo;Colombia;1;0
Rafael Marcelo Delgado;Rafael;Marcelo Delgado;Colon;Argentina;0;3
Rafael Profini;Rafael;Profini;Union Santa Fe;Argentina;0;0
Ramiro Angel Carrera;Ramiro;Angel Carrera;Atletico Tucuman;Argentina;0;0
Ramiro Jesus Macagno;Ramiro;Jesus Macagno;Platense;Argentina;0;0
Ramiro Matias Degregorio;Ramiro;Matias Degregorio;Racing Club;Argentina;0;0
Ramiro Miguel Peralta;Ramiro;Miguel Peralta;Rosario Central;Argentina;0;0
Ramiro Ruiz Rodriguez;Ramiro;Ruiz Rodriguez;Atletico Tucuman;Argentina;1;2
Ramiro Sebastii Di Luciano;Ramiro;Sebastii Di Luciano;Banfield;Argentina;0;0
Ramiro Sordo;Ramiro;Sordo;Newell's Old Boys;Argentina;3;2
Ramon Abila;Ramon;Abila;Colon;Argentina;6;3
Ramon Cansinos;Ramon;Cansinos;Central Cordoba SdE;Argentina;0;0
Ramon Sosa Acosta;Ramon;Sosa Acosta;Talleres Cordoba;Paraguay;6;5
Raul Alberto Loaiza Morelos;Raul;Alberto Loaiza Morelos;Lanus;Colombia;2;0
Raul Alberto Lozano;Raul;Alberto Lozano;Platense;Argentina;0;0
Renzo Ivi Tesuri;Renzo;Ivi Tesuri;Atletico Tucuman;Argentina;0;0
Renzo Lopez Patron;Renzo;Lopez Patron;Tigre;Uruguay;0;0
Ricardo Centurion;Ricardo;Centurion;Barracas Central;Argentina;0;1
Ricardo Toma Solbes;Ricardo;Toma Solbes;Defensa y Justicia;Argentina;0;0
Robert Rojas;Robert;Rojas;Tigre;Paraguay;2;0
Roberto Agustin Bochi;Roberto;Agustin Bochi;Instituto;Argentina;1;0
Roberto Ignacio Leon;Roberto;Ignacio Leon;Racing Club;Argentina;0;0
Roberto Joaquin Garcia;Roberto;Joaquin Garcia;Velez Sarsfield;Argentina;0;0
Roberto Nicola Fernidez Fagundez;Roberto;Nicola Fernidez Fagundez;Godoy Cruz;Uruguay;1;1
Rodrigo Cabral;Rodrigo;Cabral;Argentinos Juniors;Argentina;1;1
Rodrigo Castillo;Rodrigo;Castillo;Gimnasia La Plata;Argentina;1;1
Rodrigo Diego Lugo;Rodrigo;Diego Lugo;Huracan;Argentina;0;0
Rodrigo Ezequiel Herrera;Rodrigo;Ezequiel Herrera;Barracas Central;Argentina;0;1
Rodrigo Francisco Jesus Rey;Rodrigo;Francisco Jesus Rey;Independiente;Argentina;0;0
Rodrigo Gallo;Rodrigo;Gallo;Gimnasia La Plata;Argentina;0;0
Rodrigo Garro;Rodrigo;Garro;Talleres Cordoba;Argentina;5;7
Rodrigo Germi Aliendro;Rodrigo;Germi Aliendro;River Plate;Argentina;1;1
Rodrigo Insua;Rodrigo;Insua;Barracas Central;Argentina;0;3
Rodrigo Leonel Marquez De Meneses;Rodrigo;Leonel Marquez De Meneses;Independiente;Argentina;0;0
Rodrigo Manuel Bogarin Gimenez;Rodrigo;Manuel Bogarin Gimenez;Defensa y Justicia;Paraguay;1;0
Rodrigo Montes;Rodrigo;Montes;Boca Juniors;Argentina;0;0
Rodrigo Romi Villagra;Rodrigo;Romi Villagra;Talleres Cordoba;Argentina;0;1
Rodrigo Saracho;Rodrigo;Saracho;Godoy Cruz;Argentina;0;0
Rodrigo Uriel Atencio;Rodrigo;Uriel Atencio;Independiente;Argentina;0;0
Romi Andres Rodriguez;Romi;Andres Rodriguez;Boca Juniors;Argentina;0;0
Romi Daniel Riquelme;Romi;Daniel Riquelme;Argentinos Juniors;Argentina;0;0
Romi Ezequiel Fernidez;Romi;Ezequiel Fernidez;Racing Club;Argentina;0;0
Romi Gabriel Vega;Romi;Gabriel Vega;Argentinos Juniors;Argentina;0;0
Ronaldo Ivi Martinez Rolon;Ronaldo;Ivi Martinez Rolon;Platense;Paraguay;3;2
Rondon;Rondon;;River Plate;Venezuela;5;0
Ruben Alejandro Botta Montero;Ruben;Alejandro Botta Montero;Colon;Argentina;0;0
Ruben David Martinez;Ruben;David Martinez;Independiente;Argentina;0;0
Samuel Alejandro Careaga;Samuel;Alejandro Careaga;Lanus;Argentina;0;0
Santiago Alejandro Rodriguez;Santiago;Alejandro Rodriguez;Instituto;Argentina;3;4
Santiago Alexander Quiros;Santiago;Alexander Quiros;Racing Club;Argentina;0;0
Santiago Andres Mele Castanero;Santiago;Andres Mele Castanero;Union Santa Fe;Uruguay;0;0
Santiago Ascacibar;Santiago;Ascacibar;Estudiantes;Argentina;4;1
Santiago Federico Toloza;Santiago;Federico Toloza;Arsenal de Sarandi;Argentina;5;1
Santiago Fernidez;Santiago;Fernidez;Talleres Cordoba;Argentina;0;0
Santiago Gaston Luji;Santiago;Gaston Luji;Huracan;Argentina;0;0
Santiago Gerardo Rojas Lopez;Santiago;Gerardo Rojas Lopez;Tigre;Paraguay;0;0
Santiago Hezze;Santiago;Hezze;Huracan;Argentina;2;0
Santiago Hidalgo Massa;Santiago;Hidalgo Massa;Independiente;Argentina;0;0
Santiago Longo;Santiago;Longo;Belgrano;Argentina;0;0
Santiago Lopez Grobin;Santiago;Lopez Grobin;Independiente;Argentina;0;0
Santiago Montiel;Santiago;Montiel;Argentinos Juniors;Argentina;2;4
Santiago Pierotti;Santiago;Pierotti;Colon;Argentina;2;0
Santiago Ramos Mingo;Santiago;Ramos Mingo;Defensa y Justicia;Argentina;0;0
Santiago Salle;Santiago;Salle;Independiente;Argentina;0;0
Santiago Simon;Santiago;Simon;River Plate;Argentina;0;0
Santiago Thomas Castro;Santiago;Thomas Castro;Velez Sarsfield;Argentina;3;1
Santiago Vera;Santiago;Vera;Tigre;Argentina;0;0
Santino Vera;Santino;Vera;Racing Club;Argentina;0;0
Sasha Julii Marcich;Sasha;Julii Marcich;Platense;Argentina;2;0
Sebastii Cocimano;Sebastii;Cocimano;Gimnasia La Plata;Argentina;0;0
Sebastii Corda;Sebastii;Corda;Instituto;Argentina;0;1
Sebastii Emanuel Moyano;Sebastii;Emanuel Moyano;Union Santa Fe;Argentina;0;0
Sebastii Luciano Emanuel Medina;Sebastii;Luciano Emanuel Medina;Tigre;Argentina;0;0
Sebastii Prieto;Sebastii;Prieto;Tigre;Argentina;0;0
Sebastii Sosa Sichez;Sebastii;Sosa Sichez;Banfield;Uruguay;2;0
Sebastii Toma Meza;Sebastii;Toma Meza;Huracan;Argentina;0;0
Sebastii Valdez;Sebastii;Valdez;Central Cordoba SdE;Argentina;0;0
Sebastii Villa Cano;Sebastii;Villa Cano;Boca Juniors;Colombia;0;2
Sergio Alejandro Quiroga Gabutti;Sergio;Alejandro Quiroga Gabutti;Sarmiento;Argentina;2;1
Sergio Damii Barreto;Sergio;Damii Barreto;Independiente;Argentina;0;0
Sergio Fabii Ortiz;Sergio;Fabii Ortiz;Independiente;Argentina;1;0
Sergio Romero;Sergio;Romero;Boca Juniors;Argentina;0;0
Silvio Ulariaga;Silvio;Ulariaga;Godoy Cruz;Argentina;1;0
Siro Rosane;Siro;Rosane;Barracas Central;Argentina;0;0
Stefano Moreyra;Stefano;Moreyra;Colon;Argentina;0;0
Tadeo Allende;Tadeo;Allende;Godoy Cruz;Argentina;7;2
Thiago Cruz Fernidez;Thiago;Cruz Fernidez;Velez Sarsfield;Argentina;0;0
Thiago Nuss;Thiago;Nuss;Argentinos Juniors;Argentina;0;0
Thiago Tomas Schiavulli;Thiago;Tomas Schiavulli;Defensa y Justicia;Argentina;0;0
Thiago Yossen;Thiago;Yossen;Colon;Argentina;0;0
Thomas Ignacio Galdames Milli;Thomas;Ignacio Galdames Milli;Godoy Cruz;Chile;2;2
Thyago Ayala;Thyago;Ayala;Sarmiento;Argentina;0;0
Tiago Nahuel Banega;Tiago;Nahuel Banega;Union Santa Fe;Argentina;1;2
Tiago Toma Palacios;Tiago;Toma Palacios;Talleres Cordoba;Argentina;0;0
Tobias Ariel Cervera Cadi;Tobias;Ariel Cervera Cadi;Rosario Central;Argentina;0;0
Tobias Javier Rubio;Tobias;Javier Rubio;Racing Club;Argentina;0;0
Tobias Medina;Tobias;Medina;San Lorenzo;Argentina;0;0
Tobias Zarate;Tobias;Zarate;Arsenal de Sarandi;Argentina;0;0
Toma Agustin Fernidez;Toma;Agustin Fernidez;Gimnasia La Plata;Argentina;0;0
Toma Agustin Perez;Toma;Agustin Perez;Racing Club;Argentina;0;0
Toma Agustin Pozzo;Toma;Agustin Pozzo;Independiente;Argentina;0;0
Tomas Alejandro Castro;Tomas;Alejandro Castro;Belgrano;Argentina;0;0
Toma Alexander Adoryi;Toma;Alexander Adoryi;Banfield;Argentina;0;0
Toma Andrea Rambert;Toma;Andrea Rambert;Independiente;Argentina;0;0
Toma Andres Kummer;Toma;Andres Kummer;Talleres Cordoba;Argentina;0;0
Toma Aviles;Toma;Aviles;Racing Club;Chile;0;1
Toma Belmonte;Toma;Belmonte;Lanus;Argentina;2;0
Toma Berardozzi;Toma;Berardozzi;Newell's Old Boys;Argentina;0;0
Toma Bernardo Cavanagh;Toma;Bernardo Cavanagh;Velez Sarsfield;Argentina;0;0
Toma Cardona;Toma;Cardona;Defensa y Justicia;Argentina;2;1
Toma Durso;Toma;Durso;Gimnasia La Plata;Argentina;0;0
Toma Ezequiel Castro Ponce;Toma;Ezequiel Castro Ponce;Atletico Tucuman;Argentina;0;0
Toma Ezequiel Galvi;Toma;Ezequiel Galvi;Colon;Argentina;2;0
Toma Ezequiel Guidara;Toma;Ezequiel Guidara;Velez Sarsfield;Argentina;0;0
Toma Gonzalez;Toma;Gonzalez;Union Santa Fe;Argentina;1;0
Toma Ignacio Marchiori Carreño;Toma;Ignacio Marchiori Carreño;Atletico Tucuman;Argentina;0;0
Toma Jacob;Toma;Jacob;Newell's Old Boys;Argentina;0;0
Toma Jose Conechny;Toma;Jose Conechny;Godoy Cruz;Argentina;6;3
Toma Julii Fernidez;Toma;Julii Fernidez;Tigre;Argentina;0;0
Toma Molina;Toma;Molina;Talleres Cordoba;Argentina;0;0
Toma Muro;Toma;Muro;Gimnasia La Plata;Argentina;0;1
Toma O'Connor;Toma;O'Connor;Rosario Central;Argentina;1;0
Toma Olmos;Toma;Olmos;Talleres Cordoba;Argentina;0;0
Toma Ortiz;Toma;Ortiz;Defensa y Justicia;Argentina;0;0
Toma Oscar Badaloni;Toma;Oscar Badaloni;Tigre;Argentina;2;1
Toma Perez;Toma;Perez;Newell's Old Boys;Argentina;0;0
Toma Sives;Toma;Sives;Arsenal de Sarandi;Argentina;0;0
Toma Sultani;Toma;Sultani;Arsenal de Sarandi;Argentina;0;0
Ulises Albano Ciccioli;Ulises;Albano Ciccioli;Rosario Central;Argentina;0;0
Ulises Sichez;Ulises;Sichez;Belgrano;Argentina;3;4
Ulises Sandoval;Ulises;Sandoval;Defensa y Justicia;Argentina;0;0
Valentin Andres Sanchez;Valentin;Andres Sanchez;Huracan;Argentina;0;0
Valentin Barco;Valentin;Barco;Boca Juniors;Argentina;0;1
Valentin Burgoa;Valentin;Burgoa;Huracan;Argentina;0;0
Valentin Depietri;Valentin;Depietri;Talleres Cordoba;Argentina;0;0
Valentin Javier Moreno;Valentin;Javier Moreno;Tigre;Argentina;0;0
Valentin Peralva;Valentin;Peralva;Gimnasia La Plata;Argentina;0;0
Valentino Mariano Quintero;Valentino;Mariano Quintero;Rosario Central;Argentina;0;0
Valentino Venetucci;Valentino;Venetucci;Union Santa Fe;Argentina;0;0
Vicente Taborda;Vicente;Taborda;Boca Juniors;Argentina;2;3
Victor Cabrera;Victor;Cabrera;Tigre;Argentina;0;0
Victor Emanuel Aguilera;Victor;Emanuel Aguilera;Tigre;Argentina;0;0
Victor Gustavo Velazquez Ramos;Victor;Gustavo Velazquez Ramos;Newell's Old Boys;Paraguay;3;0
Victor Ignacio Malcorra;Victor;Ignacio Malcorra;Rosario Central;Argentina;6;8
Walter Ariel Bou;Walter;Ariel Bou;Velez Sarsfield;Argentina;3;2
Walter Mazzantti;Walter;Mazzantti;Huracan;Argentina;1;0
Walter Montoya;Walter;Montoya;Rosario Central;Argentina;0;1
Willer Emilio Ditta Perez;Willer;Emilio Ditta Perez;Newell's Old Boys;Colombia;0;0
