full_name;name;last_name;current_club;nationality;goals_overall;assists_overall
Braian Rivero;Braian;Rivero;Arsenal de Sarandi;Argentina;0;1
Brandon Sosa;Brandon;Sosa;Arsenal de Sarandi;Argentina;0;0
Brandon William Cortes Bustos;Brandon;William Cortes Bustos;Boca Juniors;Chile;0;0
Brian Aaron Martinez;Brian;Aaron Martinez;Independiente;Argentina;2;0
Brian Abel Luciatti;Brian;Abel Luciatti;Tigre;Argentina;4;1
Brian Alexis Leizza;Brian;Alexis Leizza;Tigre;Argentina;1;0
Brian Calderara;Brian;Calderara;Barracas Central;Argentina;2;1
Brian Farioli;Brian;Farioli;Central Cordoba SdE;Argentina;1;2
Brian Lautaro Guzmi;Brian;Lautaro Guzmi;Arsenal de Sarandi;Argentina;2;3
Brian Mauricio Aguilar Caraballo;Brian;Mauricio Aguilar Caraballo;Lanus;Argentina;0;0
Brian Nicola Aguirre;Brian;Nicola Aguirre;Newell's Old Boys;Argentina;2;4
Brian Rolando Blasi;Brian;Rolando Blasi;Central Cordoba SdE;Argentina;0;0
Bruno Alejandro Pitton;Bruno;Alejandro Pitton;Newell's Old Boys;Argentina;1;2
Bruno Amilcar Valdez;Bruno;Amilcar Valdez;Boca Juniors;Paraguay;0;0
Bruno Christian Sepulveda;Bruno;Christian Sepulveda;Barracas Central;Argentina;6;1
Bruno Felix Bianchi Massey;Bruno;Felix Bianchi Massey;Atletico Tucuman;Argentina;0;1
Bruno Juncos;Bruno;Juncos;Talleres Cordoba;Argentina;0;0
Bruno Leyes Sosa;Bruno;Leyes Sosa;Godoy Cruz;Argentina;0;1
Bruno Mastronicola;Bruno;Mastronicola;Barracas Central;Argentina;0;0
Bruno Palazzo;Bruno;Palazzo;Gimnasia La Plata;Argentina;0;0
Bruno Zapelli;Bruno;Zapelli;Belgrano;Argentina;1;3
Bruno Zuculini;Bruno;Zuculini;River Plate;Argentina;0;0
Bryan David Castrillon Gomez;Bryan;David Castrillon Gomez;Union Santa Fe;Colombia;2;1
Camilo Francisco Viganoni;Camilo;Francisco Viganoni;Tigre;Argentina;0;0
Carlos Alberto Ordoñez Esterilla;Carlos;Alberto Ordoñez Esterilla;Newell's Old Boys;Colombia;0;0
Carlos Arce;Carlos;Arce;Barracas Central;Argentina;2;0
Carlos Arrua;Carlos;Arrua;Colon;Paraguay;0;1
Carlos Auzqui;Carlos;Auzqui;San Lorenzo;Argentina;0;0
Carlos Campos;Carlos;Campos;Rosario Central;Argentina;0;0
Carlos Gustavo David Quintana;Carlos;Gustavo David Quintana;Rosario Central;Argentina;2;0
Carlos Nicola Colazo;Carlos;Nicola Colazo;Gimnasia La Plata;Argentina;0;0
Carlos Sichez;Carlos;Sichez;San Lorenzo;Colombia;0;0
Carlos Segundo Pachame;Carlos;Segundo Pachame;Estudiantes;Argentina;0;0
Cesar Ibañez;Cesar;Ibañez;Huracan;Argentina;0;0
Christian Chimino;Christian;Chimino;Arsenal de Sarandi;Argentina;0;0
Christian Gabriel Oliva Gimenez;Christian;Gabriel Oliva Gimenez;Talleres Cordoba;Uruguay;0;0
Christian Nahuel Ordoeez;Christian;Nahuel Ordoeez;Velez Sarsfield;Argentina;0;2
Ciro Pablo Rius Aragallo;Ciro;Pablo Rius Aragallo;Platense;Argentina;2;2
Claudio Agustin Valverde Molaro;Claudio;Agustin Valverde Molaro;Godoy Cruz;Argentina;0;0
Claudio Ezequiel Aquino;Claudio;Ezequiel Aquino;Velez Sarsfield;Argentina;1;0
Claudio Jeremias Echeverri;Claudio;Jeremias Echeverri;River Plate;Argentina;0;1
Cristhian Javier Baez;Cristhian;Javier Baez;Independiente;Paraguay;0;0
Cristian Agustin Fontana;Cristian;Agustin Fontana;Sarmiento;Argentina;1;0
Cristian Alberto Tarragona;Cristian;Alberto Tarragona;Gimnasia La Plata;Argentina;5;1
Cristian Arce;Cristian;Arce;Barracas Central;Argentina;0;0
Cristian Bonesso;Cristian;Bonesso;Rosario Central;Argentina;0;0
Cristian David Nueez Morales;Cristian;David Nueez Morales;Godoy Cruz;Paraguay;0;0
Cristian Exequiel Zabala;Cristian;Exequiel Zabala;Tigre;Argentina;0;1
Cristian Ferreira;Cristian;Ferreira;Newell's Old Boys;Argentina;3;2
Cristian Franco Lema;Cristian;Franco Lema;Lanus;Argentina;1;1
Cristian Gonzalo Torres;Cristian;Gonzalo Torres;Central Cordoba SdE;Argentina;1;0
Cristian Matias Menendez;Cristian;Matias Menendez;Atletico Tucuman;Argentina;2;2
Cristian Medina;Cristian;Medina;Boca Juniors;Argentina;4;2
Cristian Nahuel Barrios;Cristian;Nahuel Barrios;San Lorenzo;Argentina;2;1
Cristian Orlando Vega;Cristian;Orlando Vega;Colon;Argentina;1;0
Damii Alberto Martinez;Damii;Alberto Martinez;Rosario Central;Argentina;2;0
Damii Alberto Perez;Damii;Alberto Perez;Independiente;Argentina;0;0
Damii Ariel Fernidez;Damii;Ariel Fernidez;Velez Sarsfield;Argentina;0;0
Damii Batallini;Damii;Batallini;Colon;Argentina;0;1
Damii Puebla;Damii;Puebla;Instituto;Argentina;0;0
Daniel Barrea;Daniel;Barrea;Belgrano;Argentina;0;0
Daniel Eduardo Juarez;Daniel;Eduardo Juarez;Union Santa Fe;Argentina;0;1
Daniel Lucero;Daniel;Lucero;Arsenal de Sarandi;Argentina;0;1
Daniel Ribera Bruun;Daniel;Ribera Bruun;Talleres Cordoba;Bolivia;0;0
Daniel Sappa;Daniel;Sappa;Estudiantes;Argentina;0;0
Dante Nicola Campisi;Dante;Nicola Campisi;Union Santa Fe;Argentina;0;0
Dardo Federico Miloc;Dardo;Federico Miloc;Central Cordoba SdE;Argentina;0;0
Dario Benedetto;Dario;Benedetto;Boca Juniors;Argentina;3;2
Dario Jorge Caceres Ovelar;Dario;Jorge Caceres Ovelar;Defensa y Justicia;Argentina;1;1
David Gallardo;David;Gallardo;Sarmiento;Argentina;0;0
David Gonzalez;David;Gonzalez;Racing Club;Argentina;0;0
David Matias Barbona;David;Matias Barbona;Defensa y Justicia;Argentina;3;5
David Sotelo;David;Sotelo;Newell's Old Boys;Argentina;0;0
David Zalazar;David;Zalazar;Barracas Central;Argentina;0;0
Deian Veron;Deian;Veron;Estudiantes;Argentina;0;0
Diego Agustin Gutierrez;Diego;Agustin Gutierrez;Union Santa Fe;Argentina;0;0
Diego Alexandre Segovia Hernandez;Diego;Alexandre Segovia Hernandez;Independiente;Uruguay;0;0
Diego Barrera;Diego;Barrera;Talleres Cordoba;Argentina;0;1
Diego Ezequiel Calcaterra;Diego;Ezequiel Calcaterra;Sarmiento;Argentina;1;0
Diego Gabriel Azcurra;Diego;Gabriel Azcurra;Sarmiento;Argentina;0;0
Diego Godin;Diego;Godin;Velez Sarsfield;Uruguay;0;0
Diego Herni Gonzalez;Diego;Herni Gonzalez;Boca Juniors;Argentina;0;0
Diego Luis Braghieri;Diego;Luis Braghieri;Lanus;Argentina;1;0
Diego Luis Valoyes Ruiz;Diego;Luis Valoyes Ruiz;Talleres Cordoba;Colombia;4;6
Diego Martin Novaretti;Diego;Martin Novaretti;Belgrano;Argentina;0;0
Diego Mastrigelo;Diego;Mastrigelo;Gimnasia La Plata;Argentina;0;0
Diego Matias Rodriguez;Diego;Matias Rodriguez;Godoy Cruz;Argentina;3;0
Diego Ortegoza;Diego;Ortegoza;Talleres Cordoba;Argentina;0;0
Diego Perea;Diego;Perea;San Lorenzo;Colombia;0;0
Diego Valentin Gomez;Diego;Valentin Gomez;Velez Sarsfield;Argentina;0;0
Diego Vasquez;Diego;Vasquez;Central Cordoba SdE;Argentina;0;0
Djorkaeff Neicer Reasco Gonzalez;Djorkaeff;Neicer Reasco Gonzalez;Instituto;Ecuador;1;0
Dylan Aquino;Dylan;Aquino;Lanus;Argentina;0;0
Dylan Gamarra;Dylan;Gamarra;Banfield;Argentina;0;0
Dylan Gissi;Dylan;Gissi;Defensa y Justicia;Switzerland;0;0
Ederson Salomon Rodriguez Lima;Ederson;Salomon Rodriguez Lima;Godoy Cruz;Uruguay;5;5
Edgar Joel Elizalde Ferreira;Edgar;Joel Elizalde Ferreira;Independiente;Uruguay;0;0
Edilson Salinas;Edilson;Salinas;Godoy Cruz;Argentina;0;0
Edinson Cavani;Edinson;Cavani;Boca Juniors;Uruguay;1;0
Edison Mauricio Duarte Barajas;Edison;Mauricio Duarte Barajas;Central Cordoba SdE;Colombia;0;0
Edwin Cardona;Edwin;Cardona;Racing Club;Colombia;0;0
Edwin Stiven Mosquera Palacios;Edwin;Stiven Mosquera Palacios;Defensa y Justicia;Colombia;0;0
Elias de Jesus Baez Sotelo;Elias;de Jesus Baez Sotelo;San Lorenzo;Argentina;0;0
Elias Jose Gomez;Elias;Jose Gomez;Velez Sarsfield;Argentina;0;1
Elias Lautaro Cabrera;Elias;Lautaro Cabrera;Velez Sarsfield;Argentina;1;2
Emanuel Bilbao;Emanuel;Bilbao;Instituto;Argentina;0;0
Emanuel Coronel;Emanuel;Coronel;Banfield;Argentina;0;1
Emanuel Mammana;Emanuel;Mammana;River Plate;Argentina;0;0
Emanuel Mariano Insua Zapata;Emanuel;Mariano Insua Zapata;Banfield;Argentina;2;1
Emanuel Matias Ma;Emanuel;Matias Ma;Colon;Argentina;0;0
Emanuel Olivera;Emanuel;Olivera;Banfield;Argentina;0;1
Emiliano Daniel Saliadarre;Emiliano;Daniel Saliadarre;Racing Club;Argentina;0;0
Emiliano Insua;Emiliano;Insua;Racing Club;Argentina;0;1
Emiliano Sebastii Viveros Mereles;Emiliano;Sebastii Viveros Mereles;Arsenal de Sarandi;Argentina;0;0
Emmanuel Francisco Gomez Riga;Emmanuel;Francisco Gomez Riga;Velez Sarsfield;Argentina;0;0
Enrique Alberto Bologna Gomez;Enrique;Alberto Bologna Gomez;Defensa y Justicia;Argentina;0;0
Enzo Gaggi;Enzo;Gaggi;Godoy Cruz;Argentina;0;0
Enzo Herni Diaz;Enzo;Herni Diaz;River Plate;Argentina;0;2
Enzo Martin Roldi;Enzo;Martin Roldi;Union Santa Fe;Argentina;1;1
Enzo Maximiliano Kalinski;Enzo;Maximiliano Kalinski;Central Cordoba SdE;Argentina;1;0
Enzo Miguel Larrosa Martinez;Enzo;Miguel Larrosa Martinez;Godoy Cruz;Uruguay;2;1
Enzo Nahuel Luna;Enzo;Nahuel Luna;Huracan;Argentina;0;0
Enzo Perez;Enzo;Perez;River Plate;Argentina;0;1
Enzo Rivamar;Enzo;Rivamar;Godoy Cruz;Argentina;0;0
Eric Daian Remedi;Eric;Daian Remedi;Banfield;Argentina;0;0
Eric Ivi Jesus Ramirez;Eric;Ivi Jesus Ramirez;Gimnasia La Plata;Argentina;5;1
Eric Meza;Eric;Meza;Colon;Argentina;2;3
Erik Fernando Godoy;Erik;Fernando Godoy;Belgrano;Argentina;0;1
Eros Nazareno Mancuso;Eros;Nazareno Mancuso;Estudiantes;Argentina;1;0
Esteban Lucero;Esteban;Lucero;Defensa y Justicia;Argentina;0;0
Esteban Rolon;Esteban;Rolon;Boca Juniors;Argentina;0;0
Exequiel Zeballos;Exequiel;Zeballos;Boca Juniors;Argentina;2;2
Ezequiel Augusto Bonifacio;Ezequiel;Augusto Bonifacio;Banfield;Argentina;0;0
Ezequiel Barco;Ezequiel;Barco;River Plate;Argentina;6;4
Ezequiel Bullaude;Ezequiel;Bullaude;Boca Juniors;Argentina;0;0
Ezequiel Centurion;Ezequiel;Centurion;River Plate;Argentina;0;0
Ezequiel Cerutti;Ezequiel;Cerutti;San Lorenzo;Argentina;0;0
Ezequiel Fernidez;Ezequiel;Fernidez;Boca Juniors;Argentina;0;0
Ezequiel Forclaz;Ezequiel;Forclaz;Tigre;Argentina;0;1
Ezequiel Herrera;Ezequiel;Herrera;San Lorenzo;Argentina;0;0
Ezequiel Muñoz;Ezequiel;Muñoz;Estudiantes;Argentina;0;0
Ezequiel Orbe;Ezequiel;Orbe;Estudiantes;Argentina;0;0
Fabii Bordagaray;Fabii;Bordagaray;Belgrano;Argentina;0;1
Fabio Enrique Alvarez;Fabio;Enrique Alvarez;Colon;Argentina;0;0
Fabio Jesus Pereyra;Fabio;Jesus Pereyra;Huracan;Argentina;0;0
Fabricio Amato;Fabricio;Amato;Estudiantes;Argentina;0;0
Fabricio Dominguez;Fabricio;Dominguez;Argentinos Juniors;Uruguay;0;2
Fabricio iacovich;Fabricio;iacovich;Estudiantes;Argentina;0;0
Fabricio Oviedo;Fabricio;Oviedo;Rosario Central;Argentina;1;0
Fabrizio Sartori Prieto;Fabrizio;Sartori Prieto;Newell's Old Boys;Argentina;0;0
Facundo Aguero;Facundo;Aguero;Rosario Central;Argentina;0;0
Facundo Altamirano;Facundo;Altamirano;San Lorenzo;Argentina;0;0
Facundo Benjamin Schamine;Facundo;Benjamin Schamine;Defensa y Justicia;Argentina;0;1
Facundo Castelli;Facundo;Castelli;Central Cordoba SdE;Argentina;1;2
Facundo Colidio;Facundo;Colidio;River Plate;Argentina;2;3
Facundo Echevarria;Facundo;Echevarria;Defensa y Justicia;Argentina;1;0
Facundo Farias;Facundo;Farias;Colon;Argentina;0;1
Facundo Ferreyra;Facundo;Ferreyra;Argentinos Juniors;Argentina;0;1
Facundo Gutierrez;Facundo;Gutierrez;Defensa y Justicia;Argentina;1;3
Facundo Lencioni;Facundo;Lencioni;Belgrano;Argentina;0;0
Facundo Mallo Blanco;Facundo;Mallo Blanco;Rosario Central;Uruguay;0;1
Facundo Martin Taborda;Facundo;Martin Taborda;Colon;Argentina;0;0
Facundo Mater;Facundo;Mater;Barracas Central;Argentina;3;4
Facundo Mura;Facundo;Mura;Racing Club;Argentina;2;2
Facundo Nicola Cambeses;Facundo;Nicola Cambeses;Banfield;Argentina;0;1
Facundo Odello;Facundo;Odello;Defensa y Justicia;Afghanistan;0;0
Facundo Omar Cardozo;Facundo;Omar Cardozo;Arsenal de Sarandi;Argentina;0;0
Facundo Pons;Facundo;Pons;Arsenal de Sarandi;Argentina;2;1
Facundo Roncaglia;Facundo;Roncaglia;Boca Juniors;Argentina;0;0
Facundo Russo;Facundo;Russo;Platense;Argentina;0;0
Facundo Sanguinetti;Facundo;Sanguinetti;Banfield;Argentina;0;0
Facundo Toma Garces;Facundo;Toma Garces;Colon;Argentina;1;0
Faustino Marcos Alberto Rojo;Faustino;Marcos Alberto Rojo;Boca Juniors;Argentina;0;0
Federico Aguirre;Federico;Aguirre;Boca Juniors;Argentina;0;0
Federico Andres Mancuello;Federico;Andres Mancuello;Independiente;Argentina;0;0
Federico Fattori Mouzo;Federico;Fattori Mouzo;Huracan;Argentina;0;1
Federico Fernidez;Federico;Fernidez;Estudiantes;Argentina;0;0
Federico Florentin;Federico;Florentin;Barracas Central;Argentina;0;0
Federico Gattoni;Federico;Gattoni;San Lorenzo;Argentina;1;1
Federico Girotti;Federico;Girotti;San Lorenzo;Argentina;0;0
Federico Gomes Gerth;Federico;Gomes Gerth;Tigre;Argentina;0;0
Federico Jourdan;Federico;Jourdan;Central Cordoba SdE;Argentina;0;1
Federico Lanzillotta;Federico;Lanzillotta;Argentinos Juniors;Argentina;0;0
Federico Rasmussen;Federico;Rasmussen;Godoy Cruz;Argentina;0;1
Federico Redondo;Federico;Redondo;Argentinos Juniors;Argentina;1;1
Federico Vera;Federico;Vera;Union Santa Fe;Argentina;0;3
Federico Versaci;Federico;Versaci;Defensa y Justicia;Argentina;0;0
Felipe Aguilar Mendoza;Felipe;Aguilar Mendoza;Independiente;Colombia;0;0
Felipe Peña Biafore;Felipe;Peña Biafore;Lanus;Argentina;0;1
Felipe San Juan;Felipe;San Juan;Newell's Old Boys;Argentina;0;0
Felipe Sanchez;Felipe;Sanchez;Gimnasia La Plata;Argentina;0;0
Fernando Andres Prado Avelino;Fernando;Andres Prado Avelino;Barracas Central;Uruguay;0;0
Fernando Gabriel Godoy;Fernando;Gabriel Godoy;Huracan;Argentina;0;0
Fernando Ivan Rodriguez;Fernando;Ivan Rodriguez;Rosario Central;Argentina;0;0
Fernando Martinez Rojas;Fernando;Martinez Rojas;Sarmiento;Paraguay;0;1
Fernando Monetti;Fernando;Monetti;Sarmiento;Argentina;0;0
Fernando Ruben Alarcon;Fernando;Ruben Alarcon;Instituto;Argentina;0;1
Fernando Sebastii Da Rosa;Fernando;Sebastii Da Rosa;Independiente;Argentina;0;0
Fernando Torrent Guidi;Fernando;Torrent Guidi;Huracan;Argentina;0;1
Fernando Zuqui;Fernando;Zuqui;Estudiantes;Argentina;0;4
Flabii Londoño Bedoya;Flabii;Londoño Bedoya;Arsenal de Sarandi;Colombia;2;0
Francesco Lo Celso;Francesco;Lo Celso;Rosario Central;Argentina;0;0
Francis Manuel Mac Allister;Francis;Manuel Mac Allister;Rosario Central;Argentina;1;2
Francisco Agustin Gualtieri;Francisco;Agustin Gualtieri;Talleres Cordoba;Argentina;0;0
Francisco Alvarez;Francisco;Alvarez;Barracas Central;Argentina;5;0
Francisco Di Franco;Francisco;Di Franco;Atletico Tucuman;Argentina;0;0
Francisco Facello;Francisco;Facello;Belgrano;Argentina;0;0
Francisco Gonzalez;Francisco;Gonzalez;Newell's Old Boys;Argentina;1;1
Francisco Gonzalez Metilli;Francisco;Gonzalez Metilli;Argentinos Juniors;Argentina;5;3
Francisco Guillermo Marco;Francisco;Guillermo Marco;Defensa y Justicia;Argentina;0;0
Francisco Javier Oliver;Francisco;Javier Oliver;Belgrano;Argentina;0;0
Francisco Joel Gerometta;Francisco;Joel Gerometta;Union Santa Fe;Argentina;0;0
Francisco Jose Pozzo;Francisco;Jose Pozzo;Talleres Cordoba;Argentina;0;0
Francisco Ortega;Francisco;Ortega;Velez Sarsfield;Argentina;1;1
Francisco Perruzzi;Francisco;Perruzzi;San Lorenzo;Argentina;0;0
Francisco Pizzini;Francisco;Pizzini;Velez Sarsfield;Argentina;3;3
Franco Agustin Quinteros;Franco;Agustin Quinteros;Banfield;Argentina;0;0
Franco Agustin Vega;Franco;Agustin Vega;Arsenal de Sarandi;Argentina;0;0
Franco Alfonso;Franco;Alfonso;Huracan;Argentina;0;1
Franco Armani;Franco;Armani;River Plate;Argentina;0;0
Franco Baldassarra;Franco;Baldassarra;Platense;Argentina;2;1
Franco Calderon;Franco;Calderon;Union Santa Fe;Argentina;0;0
Franco Daniel Jara;Franco;Daniel Jara;Belgrano;Argentina;1;1
Franco Diaz;Franco;Diaz;Platense;Argentina;1;0
Franco Farias;Franco;Farias;Barracas Central;Argentina;1;0
Franco Javier Herrera;Franco;Javier Herrera;Barracas Central;Argentina;0;0
Franco Moyano;Franco;Moyano;Argentinos Juniors;Argentina;0;1
Franco Nicola Tolosa;Franco;Nicola Tolosa;Barracas Central;Argentina;0;0
Franco Orozco;Franco;Orozco;Lanus;Argentina;4;3
Franco Pardo;Franco;Pardo;Union Santa Fe;Argentina;0;0
