timestamp;date_GMT;date;status;country;home_team_name;away_team_name;referee;referee_name;referee_last_name;home_team_goal_count;away_team_goal_count;total_goal_count;home_team_yellow_cards;home_team_red_cards;home_team_shots;away_team_shots;home_team_fouls;away_team_fouls;home_team_possession;away_team_possession;stadium_name
1681777800;4/18/2023 12:30 ;2023-04-18;complete;Argentina;Atletico Tucuman;Rosario Central;Facundo Tello Figueroa;Facundo;Tello Figueroa;2;2;4;2;0;13;10;7;12;50;50;Estadio Monumental Presidente José Fierro (San Miguel de Tucumán- Provincia de Tucumán)
1681777800;4/18/2023 12:30 ;2023-04-18;complete;Argentina;Godoy Cruz;Lanus;Jorge Baliño;Jorge;Baliño;4;4;8;1;0;11;9;13;13;52;48;Estadio Malvinas Argentinas (Mendoza- Provincia de Mendoza)
1682119800;4/21/2023 11:30 ;2023-04-21;complete;Argentina;Colon;Velez Sarsfield;Dario Herrera;Dario;Herrera;2;1;3;3;0;8;8;10;11;38;62;Estadio Brigadier General Estanislao López (Ciudad de Santa Fe- Provincia de Santa Fe)
1682188200;4/22/2023 6:30 ;2023-04-22;complete;Argentina;Arsenal de SarandI;Union Santa Fe;Nicolas Lamolina;Nicolas;Lamolina;2;1;3;2;1;9;13;17;8;52;48;Estadio Julio Humberto Grondona (Avellaneda- Provincia de Buenos Aires)
1682188200;4/22/2023 6:30 ;2023-04-22;complete;Argentina;Lanus;Sarmiento;Facundo Tello Figueroa;Facundo;Tello Figueroa;2;1;3;3;1;10;14;6;18;56;44; Estadio Ciudad de Lanus - Nestor Diaz Perez (Lanus- Provincia de Buenos Aires)
1682206200;4/22/2023 11:30 ;2023-04-22;complete;Argentina;Central Cordoba SdE;Godoy Cruz;Pablo Echavarria;Pablo;Echavarria;0;2;2;1;0;9;13;10;13;56;44;Estadio unico Madre de Ciudades (Santiago del Estero- Prov. de Santiago del Estero)
1682206200;4/22/2023 11:30 ;2023-04-22;complete;Argentina;Belgrano;Newell's Old Boys;Fernando Rapallini;Fernando;Rapallini;1;0;1;2;0;8;8;6;13;41;59;Estadio Julio César Villagra (Ciudad de Córdoba- Provincia de Córdoba)
1682258400;4/23/2023 2:00 ;2023-04-23;complete;Argentina;San Lorenzo;Platense;Yael Falcon Perez;Yael;Falcon Perez;1;0;1;1;0;7;8;17;14;53;47;Estadio Pedro Bidegaín (Capital Federal- Ciudad de Buenos Aires)
1682274600;4/23/2023 6:30 ;2023-04-23;complete;Argentina;Rosario Central;Boca Juniors;Ariel Penel;Ariel;Penel;2;2;4;4;0;8;14;9;12;31;69;Estadio Gigante de Arroyito (Rosario- Provincia de Santa Fe)
1682281800;4/23/2023 8:30 ;2023-04-23;complete;Argentina;Instituto;Banfield;Jorge Baliño;Jorge;Baliño;1;1;2;2;0;12;9;11;12;67;33;Estadio Juan Domingo Perón (Ciudad de Córdoba- Provincia de Córdoba)
1682283600;4/23/2023 9:00 ;2023-04-23;complete;Argentina;Estudiantes;Talleres Cordoba;Leandro Rey Hilfer;Leandro;Rey Hilfer;1;0;1;2;0;8;3;14;19;45;55;Estadio Jorge Luis Hirschi (La Plata- Provincia de Buenos Aires)
1682292600;4/23/2023 11:30 ;2023-04-23;complete;Argentina;River Plate;Independiente;Andres Merlos;Andres;Merlos;2;0;2;3;0;18;4;7;13;72;28;Estadio Mâs Monumental (Capital Federal- Ciudad de Buenos Aires)
1682361000;4/24/2023 6:30 ;2023-04-24;complete;Argentina;Barracas Central;Defensa y Justicia;Silvio Trucco;Silvio;Trucco;0;2;2;1;0;7;11;15;13;53;47;Estadio Claudio Fabián Tapia (Capital Federal- Ciudad de Buenos Aires)
1682373600;4/24/2023 10:00 ;2023-04-24;complete;Argentina;Racing Club;Atletico Tucuman;Nazareno Arasa;Nazareno;Arasa;1;3;4;2;0;13;9;6;10;75;25;Estadio Presidente Juan Domingo Perón (Avellaneda- Provincia de Buenos Aires)
1682382600;4/25/2023 12:30 ;2023-04-25;complete;Argentina;Argentinos Juniors;Gimnasia La Plata;Hernan Mastrangelo;Hernan;Mastrangelo;2;4;6;2;0;16;11;8;10;63;37;Estadio Diego Armando Maradona (Capital Federal- Ciudad de Buenos Aires)
1682461800;4/25/2023 10:30 ;2023-04-25;complete;Argentina;Tigre;Huracan;Fernando Echenique;Fernando;Echenique;1;0;1;2;0;11;14;11;11;52;48;Estadio José Dellagiovanna (San Fernando- Provincia de Buenos Aires)
1682636400;4/27/2023 11:00 ;2023-04-27;complete;Argentina;Platense;Estudiantes;noname;noname;;1;2;3;3;0;6;13;14;8;50;50;Estadio Ciudad de Vicente Lopez (Vicente Lopez- Provincia de Buenos Aires)
1682636400;4/27/2023 11:00 ;2023-04-27;complete;Argentina;Sarmiento;Godoy Cruz;Silvio Trucco;Silvio;Trucco;1;1;2;2;0;8;20;11;16;36;64;Estadio Eva Perón de Junín (Junín- Provincia de Buenos Aires)
1682719200;4/28/2023 10:00 ;2023-04-28;complete;Argentina;Newell's Old Boys;Argentinos Juniors;Luis Lobo Medina;Luis;Lobo Medina;0;0;0;3;0;9;6;14;12;49;51;Estadio Marcelo Alberto Bielsa (Rosario- Provincia de Santa Fe)
1682719200;4/28/2023 10:00 ;2023-04-28;complete;Argentina;Huracan;Arsenal de Sarandi;Carlos Gariano;Carlos;Gariano;2;1;3;1;0;11;9;13;13;42;58;Estadio Tomás Adolfo Ducó (Capital Federal- Ciudad de Buenos Aires)
1682728200;4/29/2023 12:30 ;2023-04-29;complete;Argentina;Atletico Tucuman;River Plate;Fernando Rapallini;Fernando;Rapallini;1;1;2;3;0;10;6;15;13;35;65;Estadio Monumental Presidente José Fierro (San Miguel de Tucumán- Provincia de Tucumán)
1682787600;4/29/2023 5:00 ;2023-04-29;complete;Argentina;Velez Sarsfield;San Lorenzo;Hernan Mastrangelo;Hernan;Mastrangelo;0;0;0;4;0;7;8;10;11;55;45;Estadio Jose Amalfitani (Capital Federal- Ciudad de Buenos Aires)
1682796600;4/29/2023 7:30 ;2023-04-29;complete;Argentina;Gimnasia La Plata;Tigre;Jorge Baliño;Jorge;Baliño;1;1;2;1;0;6;14;8;7;39;61;Estadio Juan Carmelo Zerillo (La Plata- Provincia de Buenos Aires)
1682805600;4/29/2023 10:00 ;2023-04-29;complete;Argentina;Banfield;Barracas Central;Diego Ceballos;Diego;Ceballos;0;0;0;1;0;6;8;13;17;58;42;Estadio de Excursionistas (Capital Federal- Ciudad de Buenos Aires)
1682805600;4/29/2023 10:00 ;2023-04-29;complete;Argentina;Instituto;Central Cordoba SdE;Facundo Tello Figueroa;Facundo;Tello Figueroa;0;2;2;4;0;17;5;6;14;60;40;Estadio Juan Domingo Perón (Ciudad de Córdoba- Provincia de Córdoba)
1682814600;4/30/2023 12:30 ;2023-04-30;complete;Argentina;Boca Juniors;Racing Club;Andres Merlos;Andres;Merlos;3;1;4;2;1;9;8;14;9;36;64;Estadio Alberto Jose Armando (Ciudad de Buenos Aires)
1682879400;4/30/2023 6:30 ;2023-04-30;complete;Argentina;Defensa y Justicia;Colon;Fernando Echenique;Fernando;Echenique;2;0;2;1;0;15;6;14;14;48;52;Estadio Norberto Tito Tomaghello (Florencio Varela- Provincia de Buenos Aires)
1682888400;4/30/2023 9:00 ;2023-04-30;complete;Argentina;Independiente;Belgrano;Dario Herrera;Dario;Herrera;2;0;2;1;0;12;7;17;11;42;58;Estadio Libertadores de América (Avellaneda- Provincia de Buenos Aires)
1682897400;4/30/2023 11:30 ;2023-04-30;complete;Argentina;Talleres Cordoba;Rosario Central;Yael Falcon Perez;Yael;Falcon Perez;3;1;4;4;0;14;9;13;12;44;56;Estadio Mario Alberto Kempes (Ciudad de Córdoba- Provincia de Córdoba)
1683311400;5/5/2023;2023-05-05;complete;Argentina;Godoy Cruz;Union Santa Fe;Nazareno Arasa;Nazareno;Arasa;0;0;0;3;0;20;13;16;14;56;44;Estadio Víctor Antonio Legrotaglie (Mendoza- Provincia de Mendoza)
1683311400;5/5/2023;2023-05-05;complete;Argentina;Barracas Central;Instituto;Nicolas Lamolina;Nicolas;Lamolina;3;0;3;2;0;15;14;14;12;36;64;Estadio Claudio Fabian Tapia (Capital Federal- Ciudad de Buenos Aires)
1683397800;6/5/2023;2023-05-06;complete;Argentina;Lanus;Huracan;Fernando Rapallini;Fernando;Rapallini;1;0;1;3;0;13;11;9;8;47;53; Estadio Ciudad de Lanus - Nestor Diaz Perez (Lanus- Provincia de Buenos Aires)
1683406800;6/5/2023;2023-05-06;complete;Argentina;Belgrano;Atletico Tucuman;Andres Merlos;Andres;Merlos;1;0;1;1;1;12;21;6;11;35;65;Estadio Julio César Villagra (Ciudad de Córdoba- Provincia de Córdoba)
1683406800;6/5/2023;2023-05-06;complete;Argentina;Colon;Banfield;Pablo Echavarria;Pablo;Echavarria;2;0;2;2;0;13;18;16;8;36;64;Estadio Brigadier General Estanislao López (Ciudad de Santa Fe- Provincia de Santa Fe)
1683415800;6/5/2023;2023-05-06;complete;Argentina;Argentinos Juniors;Independiente;Alejandro Ramirez;Alejandro;Ramirez;2;2;4;4;0;18;15;12;19;66;34;Estadio Diego Armando Maradona (Capital Federal- Ciudad de Buenos Aires)
1683478800;7/5/2023;2023-05-07;complete;Argentina;Rosario Central;Platense;Fernando Espinoza;Fernando;Espinoza;4;0;4;4;0;11;14;7;9;51;49;Estadio Gigante de Arroyito (Rosario- Provincia de Santa Fe)
1683491400;7/5/2023;2023-05-07;complete;Argentina;River Plate;Boca Juniors;Dario Herrera;Dario;Herrera;1;0;1;5;3;16;6;15;22;60;40;Estadio Mâs Monumental (Capital Federal- Ciudad de Buenos Aires)
1683504000;8/5/2023;2023-05-08;complete;Argentina;Tigre;Newell's Old Boys;Sebastian Zunino;Sebastian;Zunino;2;2;4;2;0;10;16;9;12;32;68;Estadio José Dellagiovanna (San Fernando- Provincia de Buenos Aires)
1683504000;8/5/2023;2023-05-08;complete;Argentina;Estudiantes;Velez Sarsfield;Ariel Penel;Ariel;Penel;2;0;2;2;0;17;8;13;14;56;44;Estadio Jorge Luis Hirschi (La Plata- Provincia de Buenos Aires)
1683570600;8/5/2023;2023-05-08;complete;Argentina;Arsenal de SarandI;Gimnasia La Plata;Sebastián Nicolás Martinez;Sebastián;Nicolás Martinez;0;1;1;5;0;10;16;15;8;54;46;Estadio Julio Humberto Grondona (Avellaneda- Provincia de Buenos Aires)
1683576000;8/5/2023;2023-05-08;complete;Argentina;San Lorenzo;Defensa y Justicia;Pablo Davalo;Pablo;Davalo;0;0;0;1;0;13;9;6;11;46;54;Estadio Pedro Bidegaín (Capital Federal- Ciudad de Buenos Aires)
1683585000;8/5/2023;2023-05-08;complete;Argentina;Racing Club;Talleres Cordoba;Facundo Tello Figueroa;Facundo;Tello Figueroa;2;4;6;3;0;17;20;10;9;64;36;Estadio Presidente Juan Domingo Perón (Avellaneda- Provincia de Buenos Aires)
1683592200;9/5/2023;2023-05-09;complete;Argentina;Central Cordoba SdE;Sarmiento;Jorge Baliño;Jorge;Baliño;0;1;1;2;0;24;17;7;13;64;36;Estadio Alfredo Terrera (Santiago del Estero- Provincia de Santiago del Est)
1683932400;12/5/2023;2023-05-12;complete;Argentina;Huracan;Godoy Cruz;Nicolas Lamolina;Nicolas;Lamolina;0;0;0;0;1;10;8;11;19;44;56;Estadio Tomas Adolfo Ducó (Capital Federal- Ciudad de Buenos Aires)
1683937800;5/13/2023 12:30 ;2023-05-13;complete;Argentina;Atletico Tucuman;Argentinos Juniors;Facundo Tello Figueroa;Facundo;Tello Figueroa;1;2;3;4;0;12;17;12;18;45;55;Estadio Monumental Presidente José Fierro (San Miguel de Tucumán- Provincia de Tucumán)
1684002600;5/13/2023 6:30 ;2023-05-13;complete;Argentina;Independiente;Tigre;Nazareno Arasa;Nazareno;Arasa;2;1;3;2;0;15;10;5;9;47;53;Estadio Libertadores de América (Avellaneda- Provincia de Buenos Aires)
1684011600;5/13/2023 9:00 ;2023-05-13;complete;Argentina;Banfield;San Lorenzo;Fernando Echenique;Fernando;Echenique;1;2;3;3;0;13;9;14;15;51;49;Estadio Florencio Solá (Lomas de Zamora- Provincia de Buenos Aires)
1684020600;5/13/2023 11:30 ;2023-05-13;complete;Argentina;Newell's Old Boys;Arsenal de Sarandi;Pablo Echavarria;Pablo;Echavarria;2;0;2;1;0;17;5;8;12;65;35;Estadio Marcelo Alberto Bielsa (Rosario- Provincia de Santa Fe)
1684020600;5/13/2023 11:30 ;2023-05-13;complete;Argentina;Instituto;Colon;Luis Lobo Medina;Luis;Lobo Medina;1;0;1;1;0;19;8;9;10;60;40;Estadio Juan Domingo Perón (Ciudad de Córdoba- Provincia de Córdoba)
1684083600;5/14/2023 5:00 ;2023-05-14;complete;Argentina;Defensa y Justicia;Estudiantes;Leandro Rey Hilfer;Leandro;Rey Hilfer;1;1;2;2;1;8;23;9;19;32;68;Estadio Norberto Tito Tomaghello (Florencio Varela- Provincia de Buenos Aires)
1684092600;5/14/2023 7:30 ;2023-05-14;complete;Argentina;Platense;Racing Club;Hernan Mastrangelo;Hernan;Mastrangelo;3;0;3;4;0;16;8;15;14;38;62;Estadio Ciudad de Vicente Lopez (Vicente Lopez- Provincia de Buenos Aires)
1684101600;5/14/2023 10:00 ;2023-05-14;complete;Argentina;Boca Juniors;Belgrano;Fernando Espinoza;Fernando;Espinoza;2;0;2;2;0;23;8;14;7;66;34;Estadio Alberto Jose Armando (Ciudad de Buenos Aires)
1684110600;5/15/2023 12:30 ;2023-05-15;complete;Argentina;Talleres Cordoba;River Plate;noname;noname;;2;1;3;5;0;12;16;16;7;34;66;Estadio Mario Alberto Kempes (Ciudad de Córdoba- Provincia de Córdoba)
1684175400;5/15/2023 6:30 ;2023-05-15;complete;Argentina;Barracas Central;Central Cordoba SdE;Pablo Davalo;Pablo;Davalo;2;2;4;2;0;22;11;9;15;65;35;Estadio Claudio Fabián Tapia (Capital Federal- Ciudad de Buenos Aires)
1684175400;5/15/2023 6:30 ;2023-05-15;complete;Argentina;Union Santa Fe;Sarmiento;Andres Merlos;Andres;Merlos;0;2;2;2;1;20;11;12;8;65;35;Estadio 15 de Abril (Ciudad de Santa Fe- Provincia de Santa Fe)
1684184400;5/15/2023 9:00 ;2023-05-15;complete;Argentina;Gimnasia La Plata;Lanus;Carlos Gariano;Carlos;Gariano;1;0;1;1;0;12;17;14;15;46;54;Estadio Juan Carmelo Zerillo (La Plata- Provincia de Buenos Aires)
1684193400;5/15/2023 11:30 ;2023-05-15;complete;Argentina;Velez Sarsfield;Rosario Central;Sebastian Zunino;Sebastian;Zunino;0;0;0;3;0;16;8;7;10;46;54;Estadio Jose Amalfitani (Capital Federal- Ciudad de Buenos Aires)
1684454400;5/19/2023 12:00 ;2023-05-19;complete;Argentina;Arsenal de SarandI;Independiente;Fernando Espinoza;Fernando;Espinoza;2;1;3;5;0;8;12;11;11;37;63;Estadio Julio Humberto Grondona (Avellaneda- Provincia de Buenos Aires)
1684521000;5/19/2023 6:30 ;2023-05-19;complete;Argentina;Godoy Cruz;Gimnasia La Plata;Jorge Baliño;Jorge;Baliño;2;0;2;3;0;19;8;14;10;52;48;Estadio Víctor Antonio Legrotaglie (Mendoza- Provincia de Mendoza)
1684533600;5/19/2023 10:00 ;2023-05-19;complete;Argentina;Central Cordoba SdE;Union Santa Fe;Luis Lobo Medina;Luis;Lobo Medina;0;1;1;3;0;26;11;13;14;53;47;Estadio Alfredo Terrera (Santiago del Estero- Provincia de Santiago del Est)
1684533600;5/19/2023 10:00 ;2023-05-19;complete;Argentina;Rosario Central;Defensa y Justicia;Pablo Echavarria;Pablo;Echavarria;2;1;3;2;0;26;19;9;6;40;60;Estadio Gigante de Arroyito (Rosario- Provincia de Santa Fe)
1684533600;5/19/2023 10:00 ;2023-05-19;complete;Argentina;Estudiantes;Banfield;Nicolas Lamolina;Nicolas;Lamolina;1;0;1;2;0;8;4;16;13;62;38;Estadio Jorge Luis Hirschi (La Plata- Provincia de Buenos Aires)
1684542600;5/20/2023 12:30 ;2023-05-20;complete;Argentina;Argentinos Juniors;Boca Juniors;Fernando Echenique;Fernando;Echenique;0;1;1;2;0;22;6;13;15;54;46;Estadio Diego Armando Maradona (Capital Federal- Ciudad de Buenos Aires)
1684602000;5/20/2023 5:00 ;2023-05-20;complete;Argentina;San Lorenzo;Instituto;noname;noname;;2;0;2;3;0;10;6;10;12;45;55;Estadio Pedro Bidegaín (Capital Federal- Ciudad de Buenos Aires)
1684629000;5/21/2023 12:30 ;2023-05-21;complete;Argentina;Lanus;Newell's Old Boys;Pablo Davalo;Pablo;Davalo;1;0;1;0;0;14;9;8;10;36;64; Estadio Ciudad de Lanus - Nestor Diaz Perez (Lanus- Provincia de Buenos Aires)
1684629000;5/21/2023 12:30 ;2023-05-21;complete;Argentina;Tigre;Atletico Tucuman;Ariel Penel;Ariel;Penel;0;0;0;0;0;22;10;5;12;63;37;Estadio José Dellagiovanna (San Fernando- Provincia de Buenos Aires)
