id_jugador;full_name;name;last_name;age;birthday_GMT;position_campo;current_club;nationality
79;Ariel Mauricio Rojas;Ariel;Mauricio Rojas;37;NULL;Midfielder;Belgrano;Argentina
80;Armando Jesus Mendez Alcorta;Armando;Jesus Mendez Alcorta;27;NULL;Defender;Newell's Old Boys;Uruguay
81;Astor Piatti;Astor;Piatti;20;NULL;Defender;Rosario Central;Argentina
82;Augusto Lotti;Augusto;Lotti;27;NULL;Forward;Lanus;Italy
83;Augusto Martin Batalla Barga;Augusto;Martin Batalla Barga;27;NULL;Goalkeeper;San Lorenzo;Argentina
84;Augusto Schott;Augusto;Schott;23;NULL;Defender;Newell's Old Boys;Argentina
85;Axel Atum;Axel;Atum;17;NULL;Midfielder;Estudiantes;Argentina
86;Axel Rodriguez;Axel;Rodriguez;26;NULL;Forward;Instituto;Argentina
87;Axel Werner;Axel;Werner;27;NULL;Goalkeeper;Rosario Central;Argentina
88;Ayrton Enrique Costa;Ayrton;Enrique Costa;24;NULL;Midfielder;Independiente;Argentina
89;Baldomero Perlaza Perlaza;Baldomero;Perlaza Perlaza;31;NULL;Midfielder;Colon;Colombia
90;Baltasar Gallego Rodriguez;Baltasar;Gallego Rodriguez;20;NULL;Midfielder;Racing Club;Argentina
91;Bautista Barros Schelotto;Bautista;Barros Schelotto;23;NULL;Defender;Gimnasia La Plata;Argentina
92;Bautista Biffi;Bautista;Biffi;22;NULL;Defender;Estudiantes;Argentina
93;Bautista Kociubinski;Bautista;Kociubinski;22;NULL;Midfielder;Atletico Tucuman;Argentina
94;Benjamin Rollheiser;Benjamin;Rollheiser;23;NULL;Forward;Estudiantes;Argentina
95;Blas Agustin Palavecino;Blas;Agustin Palavecino;20;NULL;Forward;Estudiantes;Argentina
96;Blas Esteban Armoa Nu̱ez;Blas;Esteban Armoa Nu̱ez;23;NULL;Forward;Tigre;Paraguay
97;Brahian Cuello;Brahian;Cuello;25;NULL;Midfielder;Instituto;Argentina
98;Brahian Milton Alemi Athaydes;Brahian;Milton Alemi Athaydes;33;NULL;Midfielder;Banfield;Uruguay
99;Braian Alejandro Guille;Braian;Alejandro Guille;26;NULL;Forward;Atletico Tucuman;Argentina
100;Braian Ezequiel Romero;Braian;Ezequiel Romero;32;NULL;Forward;Velez Sarsfield;Argentina
101;Braian Javier Salvareschi;Braian;Javier Salvareschi;24;NULL;Defender;Godoy Cruz;Argentina
102;Braian Nahuel Aguirre;Braian;Nahuel Aguirre;23;NULL;Defender;Lanus;Argentina
103;Braian Rivero;Braian;Rivero;27;NULL;Midfielder;Arsenal de Sarandi;Argentina
104;Brandon Sosa;Brandon;Sosa;20;NULL;Forward;Arsenal de Sarandi;Argentina
105;Brandon William Cortes Bustos;Brandon;William Cortes Bustos;22;NULL;Midfielder;Boca Juniors;Chile
106;Brian Aaron Martinez;Brian;Aaron Martinez;24;NULL;Forward;Independiente;Argentina
107;Brian Abel Luciatti;Brian;Abel Luciatti;30;NULL;Defender;Tigre;Argentina
108;Brian Alexis Leizza;Brian;Alexis Leizza;23;NULL;Midfielder;Tigre;Argentina
109;Brian Calderara;Brian;Calderara;24;NULL;Defender;Barracas Central;Argentina
110;Brian Farioli;Brian;Farioli;25;NULL;Midfielder;Central Cordoba SdE;Argentina
111;Brian Lautaro Guzmi;Brian;Lautaro Guzmi;23;NULL;Forward;Arsenal de Sarandi;Argentina
112;Brian Mauricio Aguilar Caraballo;Brian;Mauricio Aguilar Caraballo;20;NULL;Defender;Lanus;Argentina
113;Brian Nicola Aguirre;Brian;Nicola Aguirre;20;NULL;Forward;Newell's Old Boys;Argentina
114;Brian Rolando Blasi;Brian;Rolando Blasi;27;NULL;Defender;Central Cordoba SdE;Argentina
115;Bruno Alejandro Pitton;Bruno;Alejandro Pitton;30;NULL;Defender;Newell's Old Boys;Argentina
116;Bruno Amilcar Valdez;Bruno;Amilcar Valdez;30;NULL;Defender;Boca Juniors;Paraguay
117;Bruno Christian Sepulveda;Bruno;Christian Sepulveda;30;NULL;Midfielder;Barracas Central;Argentina
118;Bruno Felix Bianchi Massey;Bruno;Felix Bianchi Massey;34;NULL;Defender;Atletico Tucuman;Argentina
119;Bruno Juncos;Bruno;Juncos;21;NULL;Forward;Talleres Cordoba;Argentina
120;Bruno Leyes Sosa;Bruno;Leyes Sosa;21;NULL;Midfielder;Godoy Cruz;Argentina
121;Bruno Mastronicola;Bruno;Mastronicola;23;NULL;Defender;Barracas Central;Argentina
122;Bruno Palazzo;Bruno;Palazzo;22;NULL;Defender;Gimnasia La Plata;Argentina
123;Bruno Zapelli;Bruno;Zapelli;21;NULL;Midfielder;Belgrano;Argentina
124;Bruno Zuculini;Bruno;Zuculini;30;NULL;Midfielder;River Plate;Argentina
125;Bryan David Castrillon Gomez;Bryan;David Castrillon Gomez;24;NULL;Forward;Union Santa Fe;Colombia
126;Camilo Francisco Viganoni;Camilo;Francisco Viganoni;19;NULL;Forward;Tigre;Argentina
127;Carlos Alberto Ordo̱ez Esterilla;Carlos;Alberto Ordo̱ez Esterilla;21;NULL;Defender;Newell's Old Boys;Colombia
128;Carlos Arce;Carlos;Arce;32;NULL;Midfielder;Barracas Central;Argentina
129;Carlos Arrua;Carlos;Arrua;26;NULL;Midfielder;Colon;Paraguay
130;Carlos Auzqui;Carlos;Auzqui;32;NULL;Forward;San Lorenzo;Argentina
131;Carlos Campos;Carlos;Campos;20;NULL;Midfielder;Rosario Central;Argentina
132;Carlos Gustavo David Quintana;Carlos;Gustavo David Quintana;35;NULL;Defender;Rosario Central;Argentina
133;Carlos Nicola Colazo;Carlos;Nicola Colazo;33;NULL;Forward;Gimnasia La Plata;Argentina
